n_hidden,alpha,patience,epocas_maximas,epocas_executadas,early_stopping,tempo_execucao_segundos,erro_validacao,erro_treinamento_final,acuracia_teste
20,0.1,100,2500,453,True,704.6088583999999,0.8709137123667451,0.5296771484201555,58.79396984924623
20,0.1,100,500,384,True,604.4273145000002,1.0267384682635132,0.6141208440312496,59.2964824120603
20,0.1,100,2000,441,True,686.3611544999994,1.0551617621215073,0.6031201312007703,61.80904522613066
20,0.1,100,1000,464,True,773.1941788000004,1.1236402315504623,0.6937735445283228,61.30653266331658
20,0.1,100,4000,295,True,340.66493099999934,1.1421864621592583,0.9301127167622344,47.23618090452261
20,0.1,100,1500,336,True,623.4060018,1.1769459068279928,0.8144206178162051,49.246231155778894
20,0.1,100,300,300,False,546.1142550000001,1.229194251556111,0.8380746932294246,53.768844221105525
20,0.1,100,3000,331,True,495.9518667000002,1.2337181657881484,0.8730276145678519,52.26130653266332
20,0.1,100,200,200,False,325.0448629,1.2438077233354643,0.9844931117699433,47.73869346733669
20,0.1,100,5000,557,True,640.1305996000001,1.3844231996042615,1.1238797802673095,38.19095477386934
20,0.1,100,3500,247,True,292.53702749999957,1.4022095599725954,1.1258953046063176,35.678391959798994
20,0.1,100,750,496,True,794.1554060000003,1.484123669643494,1.3704045413150845,32.1608040201005
20,0.1,100,100,100,False,134.23384800000002,1.55397935325927,1.4166899790300844,33.66834170854271
20,0.1,100,400,233,True,425.17116899999996,1.556486768424817,1.377099848567979,28.14070351758794
20,0.1,100,4500,362,True,416.04023830000006,1.6449049947505383,1.3887368608093973,29.145728643216078
