n_hidden,alpha,patience,epocas_maximas,epocas_executadas,early_stopping,tempo_execucao_segundos,erro_validacao,erro_treinamento_final,acuracia_teste
20,0.1,100,5000,412,True,605.5982404999995,0.9546842939081359,0.628753810952112,62.311557788944725
20,0.1,200,5000,878,True,1536.6803280000004,1.0174611206247945,0.5214380143039479,66.83417085427136
20,0.1,500,5000,1184,True,1975.3587356999997,1.120801701883609,0.7179047763813322,62.8140703517588
20,0.1,250,5000,518,True,648.6383774999995,1.2072854453121395,0.7388696942948001,55.778894472361806
20,0.1,150,5000,458,True,849.4697004999998,1.230781584409569,0.9086820137555807,47.73869346733669
20,0.1,300,5000,1163,True,1389.905893700001,1.2668932363799656,0.8075992472126995,51.256281407035175
20,0.1,40,5000,234,True,341.40600379999887,1.2784124132784715,1.0098295543863403,50.25125628140703
20,0.1,350,5000,1010,True,1207.0544270999999,1.3464587119717264,0.8651961907650175,45.22613065326633
20,0.1,400,5000,1062,True,1376.825033699999,1.4400311323255142,1.1453512343877137,42.211055276381906
20,0.1,450,5000,917,True,1415.2576593999984,1.601428581998703,1.415306886188785,26.633165829145728
20,0.1,50,5000,179,True,256.8064792999994,1.6283725718019315,1.541011288700096,27.63819095477387
20,0.1,20,5000,68,True,99.36420429999998,1.650473268532476,1.6326644338042404,29.64824120603015
20,0.1,30,5000,50,True,74.9830192999998,1.7456510167055475,1.6295586118840304,22.110552763819097
