epoca,erro_medio
1,2.30397159
2,1.93100623
3,1.86077561
4,1.83922645
5,1.81880437
6,1.82231531
7,1.80727378
8,1.83284522
9,1.76447120
10,1.73731053
11,1.75350173
12,1.75957545
13,1.73818987
14,1.74391685
15,1.74140214
16,1.75564693
17,1.70935869
18,1.70503692
19,1.71803811
20,1.68313303
21,1.73475510
22,1.71621894
23,1.72099308
24,1.76131723
25,1.66013810
26,1.66253826
27,1.69270680
28,1.69885746
29,1.63026841
30,1.61297857
31,1.65659749
32,1.63704277
33,1.57944816
34,1.55063026
35,1.51496241
36,1.61219166
37,1.46829402
38,1.46030755
39,1.39704891
40,1.57031645
41,1.57914757
42,1.52840196
43,1.45638108
44,1.48668161
45,1.52099011
46,1.51377121
47,1.45917514
48,1.49120766
49,1.45873439
50,1.45494333
51,1.42157736
52,1.48210779
53,1.53478615
54,1.55306992
55,1.48246514
56,1.38515158
57,1.41342579
58,1.36532371
59,1.37536082
60,1.38148330
61,1.47584355
62,1.43519047
63,1.44533176
64,1.38213523
65,1.49656575
66,1.53005799
67,1.49603690
68,1.56085696
69,1.56145290
70,1.53478361
71,1.48799787
72,1.52135155
73,1.48597473
74,1.40685355
75,1.39405409
76,1.38445699
77,1.43736795
78,1.51382606
79,1.41790224
80,1.44891919
81,1.42489543
82,1.42837148
83,1.43720442
84,1.36477108
85,1.37728796
86,1.41079988
87,1.41941317
88,1.37718368
89,1.38686814
90,1.37572538
91,1.39280311
92,1.39200137
93,1.35067423
94,1.35915383
95,1.32844242
96,1.33535408
97,1.34088852
98,1.30724749
99,1.27627129
100,1.26702072
101,1.29234240
102,1.26088989
103,1.33831642
104,1.27339701
105,1.26163421
106,1.29981196
107,1.28626903
108,1.26551492
109,1.23933601
110,1.30766461
111,1.20415525
112,1.21361018
113,1.27886981
114,1.21233831
115,1.24507524
116,1.21648852
117,1.22835082
118,1.23029297
119,1.18677588
120,1.24010913
121,1.23727768
122,1.25199129
123,1.24471822
124,1.19072331
125,1.19986711
126,1.18090009
127,1.12756547
128,1.18848787
129,1.13036447
130,1.21518673
131,1.16657517
132,1.14590938
133,1.11879639
134,1.17018935
135,1.12034021
136,1.12110720
137,1.12305201
138,1.26127675
139,1.12968497
140,1.12796242
141,1.10776940
142,1.11325011
143,1.19638496
144,1.15855226
145,1.09455654
146,1.10353435
147,1.16461527
148,1.30997361
149,1.24884624
150,1.23025050
151,1.22831879
152,1.24278913
153,1.25016504
154,1.21384594
155,1.16264043
156,1.13655311
157,1.10209386
158,1.10003031
