epoca,erro_medio
1,2.28985269
2,1.90418238
3,1.90033353
4,1.84596078
5,1.81276180
6,1.81218049
7,1.83277595
8,1.82323587
9,1.80292968
10,1.82283771
11,1.77039587
12,1.74772238
13,1.73308214
14,1.70858771
15,1.71169296
16,1.75010892
17,1.72101790
18,1.70557686
19,1.68061880
20,1.68770295
21,1.70169658
22,1.64400133
23,1.62035150
24,1.61236691
25,1.61969871
26,1.57680162
27,1.55955444
28,1.60282777
29,1.57607271
30,1.57872123
31,1.59264093
32,1.57381350
33,1.49816211
34,1.46254312
35,1.47460385
36,1.42549558
37,1.43381155
38,1.42765560
39,1.43377944
40,1.43846874
41,1.42328216
42,1.42292696
43,1.42050349
44,1.40817171
45,1.38619002
46,1.38607795
47,1.40365275
48,1.43553332
49,1.41830702
50,1.38374718
51,1.35388573
52,1.37837632
53,1.34994432
54,1.40769713
55,1.38471237
56,1.38940114
57,1.39348091
58,1.49465969
59,1.54215868
60,1.48789288
61,1.34284057
62,1.39857850
63,1.35609098
64,1.35094744
65,1.34281582
66,1.35895727
67,1.36404133
68,1.36626001
69,1.35525778
70,1.33366640
71,1.32682028
72,1.40165478
73,1.33848492
74,1.33161596
75,1.30894909
76,1.31690504
77,1.27192954
78,1.26502090
79,1.27308318
80,1.24871847
81,1.21688816
82,1.23742347
83,1.24044150
84,1.26382317
85,1.24513987
86,1.24621854
87,1.27652760
88,1.21916500
89,1.20160374
90,1.24238888
91,1.26021132
92,1.24097025
93,1.26084350
94,1.23443502
95,1.25798007
96,1.23683392
97,1.19458420
98,1.19720243
99,1.18660109
100,1.18244421
101,1.17839869
102,1.23031316
103,1.25000054
104,1.24126662
105,1.17475870
106,1.18042047
107,1.17315757
108,1.14998666
109,1.21840825
110,1.17980118
111,1.20217236
112,1.23760064
113,1.18747019
114,1.18014765
115,1.15717550
116,1.17965225
117,1.25613439
118,1.15234452
119,1.12949042
120,1.12448933
121,1.13269238
122,1.24781836
123,1.19123598
124,1.22475172
125,1.15610653
126,1.15087627
127,1.08350784
128,1.08768089
129,1.13894154
130,1.12719774
131,1.05801769
132,1.02919825
133,1.00058189
134,1.02288800
135,1.05792327
136,1.07838601
137,1.05027657
138,1.03840972
139,1.01063014
140,1.00646455
141,1.06355290
142,1.04089480
143,0.99746944
144,0.96336447
145,1.06473697
146,1.24986989
147,1.29316641
148,1.21198177
149,1.13474059
150,1.08611373
151,1.08177895
152,1.08278166
153,1.10229694
154,1.16126869
155,1.14521052
156,1.04280775
157,1.07291775
158,1.08051257
159,1.01770138
160,1.00319640
161,1.00173913
162,1.05866487
163,1.02127074
164,1.01974928
165,1.01314816
166,0.96775219
167,0.94222566
168,0.98730136
169,0.94574648
170,0.96479383
171,0.93477300
172,0.93684165
173,0.94281484
174,0.92040321
175,0.96916936
176,0.95085982
177,0.88698429
178,0.88524400
179,0.84370159
180,0.96728805
181,0.96604107
182,0.89340004
183,0.90377809
184,0.90949556
185,0.82874281
186,0.80845869
187,0.81247276
188,0.81388696
189,0.86191574
190,0.88383060
191,1.06290099
192,1.00377670
193,0.87919698
194,0.90083658
195,0.86490600
196,0.84346030
197,0.80822846
198,0.79113900
199,0.77972106
200,0.76766681
201,0.76220646
202,0.75823235
203,0.74340322
204,0.74243975
205,0.73083529
206,0.71163918
207,0.71099903
208,0.71270089
209,0.72034587
210,0.70927704
211,0.69340539
212,0.72153431
213,0.70055240
214,0.71024931
215,0.70918633
216,0.71360266
217,0.74988748
218,0.76672644
219,0.79469396
220,0.83298853
221,0.76430228
222,0.81240735
223,0.80058948
224,0.78204744
225,0.76894774
226,0.85109204
227,0.79524147
228,0.77832175
229,0.73302382
230,0.72770478
231,0.72739200
232,0.71321043
233,0.70130251
234,0.68621791
235,0.69326728
236,0.70466787
237,0.70243025
238,0.69433224
239,0.73016209
240,0.74207408
241,0.73438927
242,0.74821773
243,0.75731656
244,0.83180591
245,0.76177422
246,0.71741829
247,0.72943710
248,0.76041398
249,0.72111968
250,0.73342592
251,0.70648920
252,0.70406127
253,0.68136817
254,0.68298660
255,0.67743156
256,0.72538181
257,0.68155548
258,0.70707113
259,0.68174696
260,0.70081978
261,0.75961302
262,0.87810481
263,0.81350370
264,0.78031947
265,0.77274227
266,0.80704184
267,0.76650652
268,0.77261103
269,0.79119865
270,0.83831363
271,0.78631477
272,0.84867452
273,0.80412329
274,0.74960555
275,0.82451654
276,0.87171324
277,0.74055625
278,0.84478245
279,0.86924276
280,0.83361125
281,0.79109064
282,0.77454242
283,0.79182496
284,0.72917008
285,0.74574628
286,0.70254202
287,0.69217248
288,0.68542188
289,0.73247650
290,0.75043899
291,0.75301801
292,0.75340535
293,0.73436002
294,0.70367399
295,0.67659679
296,0.70549167
297,0.66759753
298,0.66595304
299,0.71209336
300,0.69017494
301,0.68604364
302,0.67285587
303,0.67142273
304,0.65651920
305,0.66637423
306,0.65364692
307,0.65132875
308,0.64891451
309,0.64861424
310,0.65039092
311,0.65050524
312,0.66012403
313,0.65605392
314,0.65364152
315,0.66965660
316,0.65901142
317,0.64662742
318,0.64456496
319,0.64532312
320,0.64404096
321,0.64314015
322,0.64324540
323,0.64364224
324,0.64060137
325,0.64257135
326,0.64060641
327,0.64266882
328,0.64030628
329,0.64266202
330,0.64026249
331,0.64187466
332,0.63775042
333,0.63743691
334,0.63795146
335,0.63756650
336,0.63733934
337,0.63766100
338,0.63653946
339,0.63598486
340,0.63722579
341,0.63959733
342,0.64802569
343,0.64373539
344,0.63881704
345,0.63633831
346,0.63561308
347,0.63488634
348,0.63455772
349,0.63458774
350,0.63507512
351,0.63305423
352,0.63426717
353,0.63340244
354,0.63245028
355,0.63239351
356,0.63224552
357,0.63225276
358,0.63226532
359,0.63221163
360,0.63239596
361,0.63222628
362,0.63216878
363,0.63249978
364,0.63222767
365,0.63218399
